,Category,Tract,Score_exog,Score_no_exog,Census_better
74,Street and Sidewalk Cleaning,229.02,1.73108369631,2.5195998324,True
75,Street and Sidewalk Cleaning,229.03,13.5764327614,13.5764327363,False
76,Street and Sidewalk Cleaning,230.01,5.81818961778,5.81818961699,False
77,Street and Sidewalk Cleaning,230.03,2.02395064984,2.06187992232,True
78,Street and Sidewalk Cleaning,232.0,12.4395643921,12.4395643922,False
79,Street and Sidewalk Cleaning,251.0,2.42606240565,2.46671171462,True
80,Street and Sidewalk Cleaning,252.0,2.1895045008,2.43447670424,True
81,Street and Sidewalk Cleaning,253.0,5.51168018398,5.58429274501,True
82,Street and Sidewalk Cleaning,254.01,4.9593829331,4.95938293004,False
83,Street and Sidewalk Cleaning,254.02,1.34203859956,1.30243772994,False
84,Street and Sidewalk Cleaning,254.03,4.32357007936,4.32357007918,False
85,Street and Sidewalk Cleaning,255.0,3.62273061405,3.62273061338,False
86,Street and Sidewalk Cleaning,256.0,10.3544121902,10.3544122004,False
87,Street and Sidewalk Cleaning,257.01,7.28047922098,6.04155226491,False
88,Street and Sidewalk Cleaning,257.02,4.20991130648,4.27126417227,True
89,Street and Sidewalk Cleaning,259.0,2.14416360693,2.12021371954,False
90,Street and Sidewalk Cleaning,260.01,4.4583074674,4.63595939234,True
91,Street and Sidewalk Cleaning,260.02,1.58218111232,1.55294300785,False
92,Street and Sidewalk Cleaning,261.0,4.77080263158,4.7708026311,False
93,Street and Sidewalk Cleaning,262.0,2.73528413699,2.89896548743,True
94,Street and Sidewalk Cleaning,263.01,2.91943965193,2.91943965604,False
95,Street and Sidewalk Cleaning,264.02,2.20754133005,2.2120703124,True
96,Street and Sidewalk Cleaning,264.03,2.79960825411,2.91980232554,True
97,Street and Sidewalk Cleaning,264.04,1.08039265963,2.27907466758,True
98,Street and Sidewalk Cleaning,302.01,1.61699195495,1.98056471678,True
99,Street and Sidewalk Cleaning,302.02,2.50432748411,2.57878847056,True
100,Street and Sidewalk Cleaning,305.0,1.07103927872,1.20551967117,True
101,Street and Sidewalk Cleaning,308.0,2.05858273382,2.05858273461,False
102,Street and Sidewalk Cleaning,309.0,1.6530930827,2.0606324915,True
103,Street and Sidewalk Cleaning,310.0,2.00981445198,1.87664827042,False
104,Street and Sidewalk Cleaning,311.0,4.26475381395,4.51408281173,True
105,Street and Sidewalk Cleaning,312.01,4.50042410559,5.22714515154,True
106,Street and Sidewalk Cleaning,313.02,5.67380345315,3.754165152,False
107,Street and Sidewalk Cleaning,314.0,2.81907198675,2.81907198687,False
108,Street and Sidewalk Cleaning,326.01,2.33962778999,2.33962779018,False
109,Street and Sidewalk Cleaning,327.0,1.81130369788,2.10434783862,True
110,Street and Sidewalk Cleaning,329.02,1.22546313979,1.15607872042,False
111,Street and Sidewalk Cleaning,330.0,3.00409097312,2.9735182279,False
112,Street and Sidewalk Cleaning,351.0,2.25381962353,2.48072487359,True
113,Street and Sidewalk Cleaning,352.02,2.18040014705,2.28450376023,True
114,Street and Sidewalk Cleaning,353.0,2.29832590461,2.29832590404,False
115,Street and Sidewalk Cleaning,354.0,2.30688633229,2.86676232601,True
116,Street and Sidewalk Cleaning,401.0,1.8332162503,1.93790997644,True
117,Street and Sidewalk Cleaning,402.0,5.00607215925,5.30381671003,True
118,Street and Sidewalk Cleaning,427.0,3.33701756055,3.33701755681,False
119,Street and Sidewalk Cleaning,451.0,2.51946439943,2.4840184336,False
120,Street and Sidewalk Cleaning,452.0,4.24719749439,4.24719749239,False
121,Street and Sidewalk Cleaning,477.01,1.70950258153,1.70950258029,False
122,Street and Sidewalk Cleaning,477.02,1.93269909437,1.78009204458,False
123,Street and Sidewalk Cleaning,478.01,1.93550916772,2.08013047286,True
124,Street and Sidewalk Cleaning,478.02,2.55663690956,2.65143456747,True
125,Street and Sidewalk Cleaning,479.01,2.14929008317,2.16203551348,True
126,Street and Sidewalk Cleaning,479.02,5.72380791743,2.86115549042,False
127,Street and Sidewalk Cleaning,607.0,22.5878903405,22.6195531462,True
128,Street and Sidewalk Cleaning,610.0,1.67911358839,1.68119998162,True
129,Street and Sidewalk Cleaning,611.0,6.31089877923,6.31089877888,False
130,Street and Sidewalk Cleaning,612.0,6.82657079548,6.82657079637,False
131,Street and Sidewalk Cleaning,614.0,3.45238324094,3.1179752679,False
132,Street and Sidewalk Cleaning,9809.0,5.6883309979,5.68833099662,False
133,Graffiti,105.0,0.981787094222,0.769818706775,False
134,Graffiti,106.0,2.08170802772,1.9777162592,False
135,Graffiti,107.0,3.21079460516,3.29660090905,True
136,Graffiti,110.0,2.05062889467,2.05062889452,False
137,Graffiti,111.0,2.6920534865,2.49054964636,False
138,Graffiti,117.0,4.73916116212,4.64378425823,False
139,Graffiti,118.0,5.7188313979,5.75715816319,True
140,Graffiti,120.0,2.17720566721,2.48063784724,True
141,Graffiti,121.0,3.30837984151,3.28730266096,False
142,Graffiti,122.02,2.11774331512,1.6384482602,False
143,Graffiti,124.02,3.32516190016,2.57239059218,False
144,Graffiti,133.0,0.80005462445,0.968184374892,True
145,Graffiti,153.0,2.19523353889,1.03590252845,False
146,Graffiti,154.0,3.03924507023,3.05441019423,True
147,Graffiti,156.0,3.43081105877,3.43081105914,False
148,Graffiti,158.02,2.02468674613,2.02468674944,False
149,Graffiti,162.0,5.10473499547,6.50036344046,True
150,Graffiti,164.0,5.71340039565,5.71340041478,False
151,Graffiti,166.0,10.2109598573,9.92009490605,False
152,Graffiti,167.0,8.32785109116,9.32775195536,True
153,Graffiti,168.01,7.16977785971,6.87313595855,False
154,Graffiti,168.02,4.8102712571,4.39682959464,False
155,Graffiti,169.0,4.90506597325,3.53729557729,False
156,Graffiti,171.01,1.53404445659,1.59902975114,True
157,Graffiti,176.01,7.59606409226,7.59606409008,False
158,Graffiti,177.0,6.28304024918,6.68232435823,True
159,Graffiti,178.02,4.97484493281,4.97484493264,False
